Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,146663320.34168244,0.0,0.0,7380108.000000001 
 01/21  02:00:00,146989728.19390927,0.0,0.0,7380108.000000001 
 01/21  03:00:00,147234966.65523864,0.0,0.0,7380108.000000001 
 01/21  04:00:00,147441237.70124758,0.0,0.0,7380108.000000001 
 01/21  05:00:00,147597233.4560657,0.0,0.0,7380108.000000001 
 01/21  06:00:00,147729740.07576228,0.0,0.0,7380108.000000001 
 01/21  07:00:00,160978629.5274723,0.0,0.0,7380108.000000001 
 01/21  08:00:00,172721923.82534037,0.0,0.0,7380108.000000001 
 01/21  09:00:00,157356510.25401668,0.0,0.0,29520432.000000005 
 01/21  10:00:00,147579467.1958292,0.0,0.0,29520432.000000005 
 01/21  11:00:00,146357134.4875418,0.0,0.0,29520432.000000005 
 01/21  12:00:00,145672130.17130817,0.0,0.0,29520432.000000005 
 01/21  13:00:00,161929652.270083,0.0,0.0,7380108.000000001 
 01/21  14:00:00,144984010.497107,0.0,0.0,29520432.000000005 
 01/21  15:00:00,144788196.5357573,0.0,0.0,29520432.000000005 
 01/21  16:00:00,144682998.09213925,0.0,0.0,29520432.000000005 
 01/21  17:00:00,150498987.38442237,0.0,0.0,29520432.000000005 
 01/21  18:00:00,167426975.78775258,0.0,0.0,7380108.000000001 
 01/21  19:00:00,138290160.4288398,2342499.9354711489,0.0,7380108.000000001 
 01/21  20:00:00,143243917.2775192,0.0,0.0,7380108.000000001 
 01/21  21:00:00,145463551.38302846,0.0,0.0,7380108.000000001 
 01/21  22:00:00,146579977.57643346,0.0,0.0,7380108.000000001 
 01/21  23:00:00,147239985.10465468,0.0,0.0,7380108.000000001 
 01/21  24:00:00,147722168.95113758,0.0,0.0,7380108.000000001 
 01/21  01:00:00,132222937.48377837,0.0,0.0,7380108.000000001 
 01/21  02:00:00,132462362.22442153,0.0,0.0,7380108.000000001 
 01/21  03:00:00,132637915.90675909,0.0,0.0,7380108.000000001 
 01/21  04:00:00,132776498.96191924,0.0,0.0,7380108.000000001 
 01/21  05:00:00,132885583.2438117,0.0,0.0,7380108.000000001 
 01/21  06:00:00,132966435.24321442,0.0,0.0,7380108.000000001 
 01/21  07:00:00,146149765.9042532,0.0,0.0,7380108.000000001 
 01/21  08:00:00,157707096.6333472,0.0,0.0,7380108.000000001 
 01/21  09:00:00,141197689.68377743,0.0,0.0,29520432.000000005 
 01/21  10:00:00,132527731.58451866,0.0,0.0,29520432.000000005 
 01/21  11:00:00,131137066.62631123,0.0,0.0,29520432.000000005 
 01/21  12:00:00,130411659.51396632,0.0,0.0,29520432.000000005 
 01/21  13:00:00,147241376.21249563,0.0,0.0,7380108.000000001 
 01/21  14:00:00,129668480.97951605,0.0,0.0,29520432.000000005 
 01/21  15:00:00,129466069.63106558,0.0,0.0,29520432.000000005 
 01/21  16:00:00,129323599.82505639,0.0,0.0,29520432.000000005 
 01/21  17:00:00,134698036.79535855,0.0,0.0,29520432.000000005 
 01/21  18:00:00,152176831.97004787,0.0,0.0,7380108.000000001 
 01/21  19:00:00,123276015.73055649,2225950.4301497929,0.0,7380108.000000001 
 01/21  20:00:00,127931257.65065831,0.0,0.0,7380108.000000001 
 01/21  21:00:00,130025837.846031,0.0,0.0,7380108.000000001 
 01/21  22:00:00,131182239.34996529,0.0,0.0,7380108.000000001 
 01/21  23:00:00,131908459.11621729,0.0,0.0,7380108.000000001 
 01/21  24:00:00,132384178.15896996,0.0,0.0,7380108.000000001 
 01/21  01:00:00,81646333.5250085,0.0,0.0,7380108.000000001 
 01/21  02:00:00,81897060.7178471,0.0,0.0,7380108.000000001 
 01/21  03:00:00,82099349.01260181,0.0,0.0,7380108.000000001 
 01/21  04:00:00,82239447.08527273,0.0,0.0,7380108.000000001 
 01/21  05:00:00,82351785.44292498,0.0,0.0,7380108.000000001 
 01/21  06:00:00,82429458.38809005,0.0,0.0,7380108.000000001 
 01/21  07:00:00,95482752.52327898,0.0,0.0,7380108.000000001 
 01/21  08:00:00,106279297.97981112,0.0,0.0,7380108.000000001 
 01/21  09:00:00,96859477.27055773,0.0,0.0,29520432.000000005 
 01/21  10:00:00,90256204.28465164,0.0,0.0,29520432.000000005 
 01/21  11:00:00,88955570.53759204,0.0,0.0,29520432.000000005 
 01/21  12:00:00,88136903.458933,0.0,0.0,29520432.000000005 
 01/21  13:00:00,92653285.46663292,0.0,0.0,7380108.000000001 
 01/21  14:00:00,87370892.31958683,0.0,0.0,29520432.000000005 
 01/21  15:00:00,87139577.31718916,0.0,0.0,29520432.000000005 
 01/21  16:00:00,86976299.1982587,0.0,0.0,29520432.000000005 
 01/21  17:00:00,90540808.48739137,0.0,0.0,29520432.000000005 
 01/21  18:00:00,95397692.41751866,0.0,0.0,7380108.000000001 
 01/21  19:00:00,69448477.76069011,3759163.5624778217,0.0,7380108.000000001 
 01/21  20:00:00,76223804.15330026,0.0,0.0,7380108.000000001 
 01/21  21:00:00,78444097.47622787,0.0,0.0,7380108.000000001 
 01/21  22:00:00,79656542.68393655,0.0,0.0,7380108.000000001 
 01/21  23:00:00,80560293.56643404,0.0,0.0,7380108.000000001 
 01/21  24:00:00,81146681.53411485,0.0,0.0,7380108.000000001 
 01/21  01:00:00,71713002.12132679,0.0,0.0,7380108.000000001 
 01/21  02:00:00,71925620.09369396,0.0,0.0,7380108.000000001 
 01/21  03:00:00,72097587.38165929,0.0,0.0,7380108.000000001 
 01/21  04:00:00,72635829.3850667,0.0,0.0,7380108.000000001 
 01/21  05:00:00,73019769.71661598,0.0,0.0,7380108.000000001 
 01/21  06:00:00,73347988.62217176,0.0,0.0,7380108.000000001 
 01/21  07:00:00,86625466.37369463,0.0,0.0,7380108.000000001 
 01/21  08:00:00,97619222.31522015,0.0,0.0,7380108.000000001 
 01/21  09:00:00,96254063.63024521,0.0,0.0,29520432.000000005 
 01/21  10:00:00,89673611.38895619,0.0,0.0,29520432.000000005 
 01/21  11:00:00,88367370.38103146,0.0,0.0,29520432.000000005 
 01/21  12:00:00,87545375.64825969,0.0,0.0,29520432.000000005 
 01/21  13:00:00,87634700.53477878,0.0,0.0,7380108.000000001 
 01/21  14:00:00,86780045.11791918,0.0,0.0,29520432.000000005 
 01/21  15:00:00,86548693.72361057,0.0,0.0,29520432.000000005 
 01/21  16:00:00,86385673.2423633,0.0,0.0,29520432.000000005 
 01/21  17:00:00,89922807.93325672,0.0,0.0,29520432.000000005 
 01/21  18:00:00,90644899.52893909,0.0,0.0,7380108.000000001 
 01/21  19:00:00,60527809.21379665,3731298.645344926,0.0,7380108.000000001 
 01/21  20:00:00,67461378.09493293,0.0,0.0,7380108.000000001 
 01/21  21:00:00,70654844.1673003,0.0,0.0,7380108.000000001 
 01/21  22:00:00,72351983.10752593,0.0,0.0,7380108.000000001 
 01/21  23:00:00,73525748.50855857,0.0,0.0,7380108.000000001 
 01/21  24:00:00,74325215.45046854,0.0,0.0,7380108.000000001 
 01/21  01:00:00,141163173.9447629,0.0,0.0,7380108.000000001 
 01/21  02:00:00,141472066.0975137,0.0,0.0,7380108.000000001 
 01/21  03:00:00,141702038.86637489,0.0,0.0,7380108.000000001 
 01/21  04:00:00,141894012.34066699,0.0,0.0,7380108.000000001 
 01/21  05:00:00,142037213.3630451,0.0,0.0,7380108.000000001 
 01/21  06:00:00,142157382.74060623,0.0,0.0,7380108.000000001 
 01/21  07:00:00,155395594.53451247,0.0,0.0,7380108.000000001 
 01/21  08:00:00,169882996.26410157,0.0,0.0,7380108.000000001 
 01/21  09:00:00,165689830.4591662,0.0,0.0,29520432.000000005 
 01/21  10:00:00,142958454.3532057,0.0,0.0,29520432.000000005 
 01/21  11:00:00,141248591.9378524,0.0,0.0,29520432.000000005 
 01/21  12:00:00,140470067.57308383,0.0,0.0,29520432.000000005 
 01/21  13:00:00,146167991.13660527,0.0,0.0,7380108.000000001 
 01/21  14:00:00,139715519.4711239,0.0,0.0,29520432.000000005 
 01/21  15:00:00,139502767.53414337,0.0,0.0,29520432.000000005 
 01/21  16:00:00,139383450.55508823,0.0,0.0,29520432.000000005 
 01/21  17:00:00,161111651.42678584,0.0,0.0,29520432.000000005 
 01/21  18:00:00,167547159.13193644,0.0,0.0,7380108.000000001 
 01/21  19:00:00,130531621.36812714,3250005.5710210578,0.0,7380108.000000001 
 01/21  20:00:00,137478526.30372945,0.0,0.0,7380108.000000001 
 01/21  21:00:00,139778706.98608677,0.0,0.0,7380108.000000001 
 01/21  22:00:00,140874784.9192367,0.0,0.0,7380108.000000001 
 01/21  23:00:00,141522571.7191664,0.0,0.0,7380108.000000001 
 01/21  24:00:00,141993227.75985996,0.0,0.0,7380108.000000001 
 01/21  01:00:00,150919071.8991202,0.0,0.0,7380108.000000001 
 01/21  02:00:00,151226284.68016348,0.0,0.0,7380108.000000001 
 01/21  03:00:00,151454673.73770846,0.0,0.0,7380108.000000001 
 01/21  04:00:00,151645204.51603163,0.0,0.0,7380108.000000001 
 01/21  05:00:00,151786998.81289206,0.0,0.0,7380108.000000001 
 01/21  06:00:00,151905864.99106909,0.0,0.0,7380108.000000001 
 01/21  07:00:00,165137939.34816808,0.0,0.0,7380108.000000001 
 01/21  08:00:00,179129664.8161322,0.0,0.0,7380108.000000001 
 01/21  09:00:00,175169270.4168325,0.0,0.0,29520432.000000005 
 01/21  10:00:00,153687010.1133597,0.0,0.0,29520432.000000005 
 01/21  11:00:00,151936121.55349935,0.0,0.0,29520432.000000005 
 01/21  12:00:00,151149117.67350359,0.0,0.0,29520432.000000005 
 01/21  13:00:00,156597195.91912113,0.0,0.0,7380108.000000001 
 01/21  14:00:00,150387671.34328399,0.0,0.0,29520432.000000005 
 01/21  15:00:00,150172909.42214848,0.0,0.0,29520432.000000005 
 01/21  16:00:00,150052135.51472516,0.0,0.0,29520432.000000005 
 01/21  17:00:00,170554274.37015794,0.0,0.0,29520432.000000005 
 01/21  18:00:00,176747122.0809172,0.0,0.0,7380108.000000001 
 01/21  19:00:00,142691844.02210299,1601607.112435977,0.0,7380108.000000001 
 01/21  20:00:00,147311475.79110468,0.0,0.0,7380108.000000001 
 01/21  21:00:00,149532946.42065869,0.0,0.0,7380108.000000001 
 01/21  22:00:00,150619314.7011866,0.0,0.0,7380108.000000001 
 01/21  23:00:00,151262928.75765074,0.0,0.0,7380108.000000001 
 01/21  24:00:00,151731089.30621899,0.0,0.0,7380108.000000001 
 07/21  01:00:00,10076408.011006453,0.0,87973618.99078352,14265108.0 
 07/21  02:00:00,9342416.441574505,0.0,87973618.99078352,14265108.0 
 07/21  03:00:00,8841254.438274555,0.0,87973618.99078352,14265108.0 
 07/21  04:00:00,8389439.20596842,0.0,87973618.99078352,14265108.0 
 07/21  05:00:00,8040296.699594047,0.0,87973618.99078352,14265108.0 
 07/21  06:00:00,8109931.895928371,0.0,87798374.58425924,14265108.0 
 07/21  07:00:00,8585599.819681654,0.0,77174091.88439341,14265108.0 
 07/21  08:00:00,8218417.161926915,5989804.231374646,61567566.655953917,14265108.0 
 07/21  09:00:00,10345735.205801545,14303166.375842695,52253475.15899962,36405432.0 
 07/21  10:00:00,12327340.812366438,12012462.656763196,46820255.119036469,36405432.0 
 07/21  11:00:00,7426113.612852445,12375390.122947231,45207477.43049181,36405432.0 
 07/21  12:00:00,2575122.8290295025,12671006.955946014,45026190.11339775,36405432.0 
 07/21  13:00:00,79872.78608987981,13478708.748743467,45026190.11339775,14265108.0 
 07/21  14:00:00,0.0,16597901.831668254,44784473.690605659,36405432.0 
 07/21  15:00:00,0.0,17328306.329525789,45690010.36391195,36405432.0 
 07/21  16:00:00,442089.37584607957,15786894.875086938,49182794.67525414,36405432.0 
 07/21  17:00:00,0.0,18966911.157278606,62377757.62932496,36405432.0 
 07/21  18:00:00,2260500.8320635238,14008585.94871346,72338661.03581958,14265108.0 
 07/21  19:00:00,15332683.633302819,0.0,86240203.56941432,14265108.0 
 07/21  20:00:00,16098690.546356697,0.0,87973618.99078352,14265108.0 
 07/21  21:00:00,14880202.62067831,0.0,87973618.99078352,14265108.0 
 07/21  22:00:00,13458779.519548879,0.0,87973618.99078352,14265108.0 
