Time,ZONE1 OFFICE:XIAN ANN HTG WIND 99% CONDNS WS=>MCDB:Des Heat Load [W],ZONE1 OFFICE:XIAN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE1 OFFICE:XIAN ANN HTG WIND 99% CONDNS WS=>MCDB:Des Heat Mass Flow [kg/s],ZONE1 OFFICE:XIAN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE2 FINE STORAGE:XIAN ANN HTG WIND 99% CONDNS WS=>MCDB:Des Heat Load [W],ZONE2 FINE STORAGE:XIAN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE2 FINE STORAGE:XIAN ANN HTG WIND 99% CONDNS WS=>MCDB:Des Heat Mass Flow [kg/s],ZONE2 FINE STORAGE:XIAN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE3 BULK STORAGE:XIAN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE3 BULK STORAGE::Des Sens Cool Load [W],ZONE3 BULK STORAGE:XIAN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE3 BULK STORAGE::Des Cool Mass Flow [kg/s]
00:15:00,2.749586E+03,0.000000E+00,7.838208E-02,0.000000E+00,2.245656E+04,0.000000E+00,6.393603E-01,0.000000E+00,1.757455E+04,0.000000E+00,5.095762E-01,0.000000E+00
00:30:00,2.753029E+03,0.000000E+00,7.848018E-02,0.000000E+00,2.245789E+04,0.000000E+00,6.393983E-01,0.000000E+00,1.749455E+04,0.000000E+00,5.072568E-01,0.000000E+00
00:45:00,2.756473E+03,0.000000E+00,7.857831E-02,0.000000E+00,2.245912E+04,0.000000E+00,6.394333E-01,0.000000E+00,1.741515E+04,0.000000E+00,5.049547E-01,0.000000E+00
01:00:00,2.760382E+03,0.000000E+00,7.868973E-02,0.000000E+00,2.246043E+04,0.000000E+00,6.394705E-01,0.000000E+00,1.733633E+04,0.000000E+00,5.026696E-01,0.000000E+00
01:15:00,2.772822E+03,0.000000E+00,7.904433E-02,0.000000E+00,2.246959E+04,0.000000E+00,6.397313E-01,0.000000E+00,1.734122E+04,0.000000E+00,5.028115E-01,0.000000E+00
01:30:00,2.783530E+03,0.000000E+00,7.934954E-02,0.000000E+00,2.247791E+04,0.000000E+00,6.399682E-01,0.000000E+00,1.734603E+04,0.000000E+00,5.029507E-01,0.000000E+00
01:45:00,2.792540E+03,0.000000E+00,7.960637E-02,0.000000E+00,2.248544E+04,0.000000E+00,6.401825E-01,0.000000E+00,1.735076E+04,0.000000E+00,5.030881E-01,0.000000E+00
02:00:00,2.799872E+03,0.000000E+00,7.981536E-02,0.000000E+00,2.249218E+04,0.000000E+00,6.403745E-01,0.000000E+00,1.735545E+04,0.000000E+00,5.032238E-01,0.000000E+00
02:15:00,2.806496E+03,0.000000E+00,8.000414E-02,0.000000E+00,2.249863E+04,0.000000E+00,6.405582E-01,0.000000E+00,1.736016E+04,0.000000E+00,5.033604E-01,0.000000E+00
02:30:00,2.812748E+03,0.000000E+00,8.018237E-02,0.000000E+00,2.250490E+04,0.000000E+00,6.407366E-01,0.000000E+00,1.736486E+04,0.000000E+00,5.034969E-01,0.000000E+00
02:45:00,2.818678E+03,0.000000E+00,8.035140E-02,0.000000E+00,2.251098E+04,0.000000E+00,6.409098E-01,0.000000E+00,1.736954E+04,0.000000E+00,5.036324E-01,0.000000E+00
03:00:00,2.824336E+03,0.000000E+00,8.051267E-02,0.000000E+00,2.251690E+04,0.000000E+00,6.410784E-01,0.000000E+00,1.737418E+04,0.000000E+00,5.037669E-01,0.000000E+00
