Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/21  01:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  02:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  03:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  04:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  05:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  06:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  07:00:00,126312053.04845006,20019278.22227536,0.0,0.0,189811620.37015484,189811620.37015487,6791184.0 
 01/21  08:00:00,288086561.9561747,1731699.2348341833,0.0,0.0,367779583.29760268,367779583.2976027,84184815.44391707 
 01/21  09:00:00,224672135.3174107,0.0,0.0,0.0,311536158.39246788,311536158.39246788,80129311.97784364 
 01/21  10:00:00,205439030.51475824,0.0,0.0,0.0,294405103.5961396,294405103.5961396,79156165.44317341 
 01/21  11:00:00,195116617.62840925,0.0,0.0,0.0,285206849.8512063,285206849.8512063,78631579.78113255 
 01/21  12:00:00,187633942.1901421,0.0,0.0,0.0,278463823.05675628,278463823.05675628,78330824.90296914 
 01/21  13:00:00,181750962.33089075,0.0,0.0,0.0,273144087.45424577,273144087.45424577,78124810.13210476 
 01/21  14:00:00,176749342.06585539,0.0,0.0,0.0,268619900.5004935,268619900.5004935,77958832.96179424 
 01/21  15:00:00,172466211.44400428,0.0,0.0,0.0,264757429.8937006,264757429.89370058,77818372.53160589 
 01/21  16:00:00,168560501.70551766,0.0,0.0,0.0,261245184.96434153,261245184.96434153,77688996.31815303 
 01/21  17:00:00,164883955.73992247,0.0,0.0,0.0,257934552.89780209,257934552.89780209,77570624.2183016 
 01/21  18:00:00,161866508.70277269,0.0,0.0,0.0,255259245.41463707,255259245.41463707,77451535.24065826 
 01/21  19:00:00,132365422.17068106,2252837.5459916375,0.0,0.0,207440989.4683783,207440989.4683783,6791184.0 
 01/21  20:00:00,114972482.61875254,1168513.6853522938,0.0,0.0,192542823.6833268,192542823.68332679,6791184.0 
 01/21  21:00:00,79570526.92693243,1162599.9589567597,0.0,0.0,135061039.55071555,135061039.5507155,6791184.0 
 01/21  22:00:00,126971036.20974672,2324240.223937059,0.0,0.0,203970579.2773104,203970579.2773104,6791184.0 
 01/21  23:00:00,3119785.004160058,20436098.011827489,0.0,0.0,14052034.246372013,14052034.246372013,6791184.0 
 01/21  24:00:00,0.0,0.0,0.0,0.0,11497495.609756098,11497495.609756098,6791184.0 
 01/21  01:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
