Date/Time,Environment:Site Wind Speed [m/s](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  02:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  03:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  04:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  05:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  06:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  07:00:00,3.0,0.0,126312053.04845006,20019278.22227536,0.0,0.0 
 01/21  08:00:00,3.0,0.0,288086561.9561747,1731699.2348341833,0.0,0.0 
 01/21  09:00:00,3.0,0.0,224672135.3174107,0.0,0.0,0.0 
 01/21  10:00:00,3.0,0.0,205439030.51475824,0.0,0.0,0.0 
 01/21  11:00:00,3.0,0.0,195116617.62840925,0.0,0.0,0.0 
 01/21  12:00:00,3.0,0.0,187633942.1901421,0.0,0.0,0.0 
 01/21  13:00:00,3.0,0.0,181750962.33089075,0.0,0.0,0.0 
 01/21  14:00:00,3.0,0.0,176749342.06585539,0.0,0.0,0.0 
 01/21  15:00:00,3.0,0.0,172466211.44400428,0.0,0.0,0.0 
 01/21  16:00:00,3.0,0.0,168560501.70551766,0.0,0.0,0.0 
 01/21  17:00:00,3.0,0.0,164883955.73992247,0.0,0.0,0.0 
 01/21  18:00:00,3.0,0.0,161866508.70277269,0.0,0.0,0.0 
 01/21  19:00:00,3.0,0.0,132365422.17068106,2252837.5459916375,0.0,0.0 
 01/21  20:00:00,3.0,0.0,114972482.61875254,1168513.6853522938,0.0,0.0 
 01/21  21:00:00,3.0,0.0,79570526.92693243,1162599.9589567597,0.0,0.0 
 01/21  22:00:00,3.0,0.0,126971036.20974672,2324240.223937059,0.0,0.0 
 01/21  23:00:00,3.0,0.0,3119785.004160058,20436098.011827489,0.0,0.0 
 01/21  24:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  01:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  02:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  03:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  04:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  05:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  06:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  07:00:00,3.0,0.0,113127312.17707245,22115662.454734,0.0,0.0 
 01/21  08:00:00,3.0,0.0,273172271.4488605,1719327.6952736215,0.0,0.0 
 01/21  09:00:00,3.0,0.0,210318715.84713013,0.0,0.0,0.0 
 01/21  10:00:00,3.0,0.0,192271485.48608724,0.0,0.0,0.0 
 01/21  11:00:00,3.0,0.0,182609289.00582467,0.0,0.0,0.0 
 01/21  12:00:00,3.0,0.0,175615915.07794617,0.0,0.0,0.0 
 01/21  13:00:00,3.0,0.0,170120796.99847458,0.0,0.0,0.0 
 01/21  14:00:00,3.0,0.0,165491111.8829128,0.0,0.0,0.0 
 01/21  15:00:00,3.0,0.0,161482799.25893239,0.0,0.0,0.0 
 01/21  16:00:00,3.0,0.0,157840070.01459898,0.0,0.0,0.0 
 01/21  17:00:00,3.0,0.0,154400568.14645422,0.0,0.0,0.0 
 01/21  18:00:00,3.0,0.0,151595900.16780574,0.0,0.0,0.0 
 01/21  19:00:00,3.0,0.0,122487279.8373349,2533332.835004333,0.0,0.0 
