Time,CORE_BOTTOM:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:GUANGZHOU ANN CLG .4% CONDNS DP=>MDB:Des Sens Cool Load [W],CORE_BOTTOM:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:GUANGZHOU ANN CLG .4% CONDNS DP=>MDB:Des Cool Mass Flow [kg/s],CORE_MID:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:GUANGZHOU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:GUANGZHOU ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,0.000000E+00,1.790311E+04,0.000000E+00,1.262881E+00,0.000000E+00,6.474660E+03,0.000000E+00,4.568036E-01,0.000000E+00,6.856452E+03,0.000000E+00,4.835748E-01,0.000000E+00,1.599857E+03,0.000000E+00,1.128127E-01,0.000000E+00,1.071981E+03,0.000000E+00,7.559898E-02,0.000000E+00,1.607418E+03,0.000000E+00,1.133475E-01,0.000000E+00,1.184696E+03,0.000000E+00,8.355463E-02,0.000000E+00,7.527785E+02,0.000000E+00,5.311569E-02,0.000000E+00,5.131123E+02,0.000000E+00,3.621594E-02,0.000000E+00,7.691998E+02,0.000000E+00,5.427872E-02,0.000000E+00,5.999883E+02,0.000000E+00,4.235164E-02,0.000000E+00,1.524069E+03,0.000000E+00,1.074511E-01,0.000000E+00,1.024554E+03,0.000000E+00,7.224625E-02,0.000000E+00,1.531116E+03,0.000000E+00,1.079471E-01,0.000000E+00,1.141867E+03,0.000000E+00,8.053171E-02
00:30:00,0.000000E+00,1.856753E+04,0.000000E+00,1.309047E+00,0.000000E+00,7.198605E+03,0.000000E+00,5.077197E-01,0.000000E+00,7.598127E+03,0.000000E+00,5.357646E-01,0.000000E+00,1.762352E+03,0.000000E+00,1.242420E-01,0.000000E+00,1.177678E+03,0.000000E+00,8.302879E-02,0.000000E+00,1.770077E+03,0.000000E+00,1.247869E-01,0.000000E+00,1.299032E+03,0.000000E+00,9.159182E-02,0.000000E+00,8.890296E+02,0.000000E+00,6.272039E-02,0.000000E+00,6.012899E+02,0.000000E+00,4.242911E-02,0.000000E+00,9.078786E+02,0.000000E+00,6.405456E-02,0.000000E+00,6.834420E+02,0.000000E+00,4.822907E-02,0.000000E+00,1.685587E+03,0.000000E+00,1.188252E-01,0.000000E+00,1.128802E+03,0.000000E+00,7.957821E-02,0.000000E+00,1.692694E+03,0.000000E+00,1.193235E-01,0.000000E+00,1.251963E+03,0.000000E+00,8.827024E-02
00:45:00,0.000000E+00,1.897869E+04,0.000000E+00,1.337809E+00,0.000000E+00,7.696272E+03,0.000000E+00,5.425268E-01,0.000000E+00,8.086864E+03,0.000000E+00,5.700533E-01,0.000000E+00,1.874076E+03,0.000000E+00,1.321119E-01,0.000000E+00,1.249652E+03,0.000000E+00,8.809381E-02,0.000000E+00,1.882854E+03,0.000000E+00,1.327307E-01,0.000000E+00,1.369338E+03,0.000000E+00,9.653109E-02,0.000000E+00,1.003423E+03,0.000000E+00,7.073436E-02,0.000000E+00,6.703459E+02,0.000000E+00,4.725514E-02,0.000000E+00,1.021295E+03,0.000000E+00,7.199438E-02,0.000000E+00,7.492969E+02,0.000000E+00,5.282117E-02,0.000000E+00,1.796485E+03,0.000000E+00,1.266410E-01,0.000000E+00,1.200083E+03,0.000000E+00,8.459842E-02,0.000000E+00,1.803283E+03,0.000000E+00,1.271200E-01,0.000000E+00,1.321000E+03,0.000000E+00,9.312240E-02
01:00:00,0.000000E+00,1.922721E+04,0.000000E+00,1.355314E+00,0.000000E+00,7.926095E+03,0.000000E+00,5.587105E-01,0.000000E+00,8.311649E+03,0.000000E+00,5.858875E-01,0.000000E+00,1.930609E+03,0.000000E+00,1.360981E-01,0.000000E+00,1.286858E+03,0.000000E+00,9.071730E-02,0.000000E+00,1.940190E+03,0.000000E+00,1.367736E-01,0.000000E+00,1.403067E+03,0.000000E+00,9.890953E-02,0.000000E+00,1.053725E+03,0.000000E+00,7.427933E-02,0.000000E+00,7.022463E+02,0.000000E+00,4.950291E-02,0.000000E+00,1.071465E+03,0.000000E+00,7.552984E-02,0.000000E+00,7.816943E+02,0.000000E+00,5.510342E-02,0.000000E+00,1.851329E+03,0.000000E+00,1.305077E-01,0.000000E+00,1.236049E+03,0.000000E+00,8.713437E-02,0.000000E+00,1.858501E+03,0.000000E+00,1.310133E-01,0.000000E+00,1.354166E+03,0.000000E+00,9.546094E-02
01:15:00,0.000000E+00,1.940807E+04,0.000000E+00,1.368058E+00,0.000000E+00,8.135733E+03,0.000000E+00,5.734855E-01,0.000000E+00,8.539524E+03,0.000000E+00,6.019482E-01,0.000000E+00,1.984419E+03,0.000000E+00,1.398923E-01,0.000000E+00,1.320686E+03,0.000000E+00,9.310256E-02,0.000000E+00,1.994553E+03,0.000000E+00,1.406067E-01,0.000000E+00,1.432423E+03,0.000000E+00,1.009795E-01,0.000000E+00,1.069629E+03,0.000000E+00,7.540073E-02,0.000000E+00,7.144344E+02,0.000000E+00,5.036229E-02,0.000000E+00,1.088498E+03,0.000000E+00,7.673087E-02,0.000000E+00,7.955393E+02,0.000000E+00,5.607953E-02,0.000000E+00,1.904476E+03,0.000000E+00,1.342548E-01,0.000000E+00,1.269666E+03,0.000000E+00,8.950457E-02,0.000000E+00,1.912578E+03,0.000000E+00,1.348260E-01,0.000000E+00,1.383272E+03,0.000000E+00,9.751318E-02
01:30:00,0.000000E+00,1.955928E+04,0.000000E+00,1.378710E+00,0.000000E+00,8.313750E+03,0.000000E+00,5.860321E-01,0.000000E+00,8.719785E+03,0.000000E+00,6.146528E-01,0.000000E+00,2.022341E+03,0.000000E+00,1.425664E-01,0.000000E+00,1.344408E+03,0.000000E+00,9.477542E-02,0.000000E+00,2.033053E+03,0.000000E+00,1.433215E-01,0.000000E+00,1.451911E+03,0.000000E+00,1.023539E-01,0.000000E+00,1.097278E+03,0.000000E+00,7.735003E-02,0.000000E+00,7.329871E+02,0.000000E+00,5.167025E-02,0.000000E+00,1.116523E+03,0.000000E+00,7.870664E-02,0.000000E+00,8.114339E+02,0.000000E+00,5.720014E-02,0.000000E+00,1.941824E+03,0.000000E+00,1.368882E-01,0.000000E+00,1.293031E+03,0.000000E+00,9.115209E-02,0.000000E+00,1.950547E+03,0.000000E+00,1.375032E-01,0.000000E+00,1.402472E+03,0.000000E+00,9.886706E-02
01:45:00,0.000000E+00,1.969122E+04,0.000000E+00,1.388004E+00,0.000000E+00,8.466270E+03,0.000000E+00,5.967813E-01,0.000000E+00,8.875572E+03,0.000000E+00,6.256321E-01,0.000000E+00,2.053138E+03,0.000000E+00,1.447380E-01,0.000000E+00,1.363307E+03,0.000000E+00,9.610802E-02,0.000000E+00,2.064392E+03,0.000000E+00,1.455314E-01,0.000000E+00,1.466544E+03,0.000000E+00,1.033858E-01,0.000000E+00,1.114855E+03,0.000000E+00,7.858927E-02,0.000000E+00,7.452540E+02,0.000000E+00,5.253510E-02,0.000000E+00,1.134726E+03,0.000000E+00,7.999002E-02,0.000000E+00,8.212078E+02,0.000000E+00,5.788927E-02,0.000000E+00,1.972341E+03,0.000000E+00,1.390400E-01,0.000000E+00,1.311796E+03,0.000000E+00,9.247519E-02,0.000000E+00,1.981702E+03,0.000000E+00,1.396999E-01,0.000000E+00,1.417007E+03,0.000000E+00,9.989196E-02
02:00:00,0.000000E+00,1.980857E+04,0.000000E+00,1.396271E+00,0.000000E+00,8.604511E+03,0.000000E+00,6.065240E-01,0.000000E+00,9.014614E+03,0.000000E+00,6.354312E-01,0.000000E+00,2.078422E+03,0.000000E+00,1.465207E-01,0.000000E+00,1.378494E+03,0.000000E+00,9.717895E-02,0.000000E+00,2.090182E+03,0.000000E+00,1.473498E-01,0.000000E+00,1.477527E+03,0.000000E+00,1.041603E-01,0.000000E+00,1.130149E+03,0.000000E+00,7.966754E-02,0.000000E+00,7.551554E+02,0.000000E+00,5.323317E-02,0.000000E+00,1.150382E+03,0.000000E+00,8.109380E-02,0.000000E+00,8.283808E+02,0.000000E+00,5.839501E-02,0.000000E+00,1.997755E+03,0.000000E+00,1.408317E-01,0.000000E+00,1.327104E+03,0.000000E+00,9.355450E-02,0.000000E+00,2.007706E+03,0.000000E+00,1.415333E-01,0.000000E+00,1.428128E+03,0.000000E+00,1.006761E-01
02:15:00,0.000000E+00,1.992853E+04,0.000000E+00,1.404723E+00,0.000000E+00,8.745929E+03,0.000000E+00,6.164906E-01,0.000000E+00,9.154373E+03,0.000000E+00,6.452807E-01,0.000000E+00,2.102469E+03,0.000000E+00,1.482162E-01,0.000000E+00,1.392747E+03,0.000000E+00,9.818384E-02,0.000000E+00,2.114703E+03,0.000000E+00,1.490786E-01,0.000000E+00,1.487682E+03,0.000000E+00,1.048763E-01,0.000000E+00,1.145789E+03,0.000000E+00,8.077015E-02,0.000000E+00,7.650432E+02,0.000000E+00,5.393026E-02,0.000000E+00,1.166323E+03,0.000000E+00,8.221765E-02,0.000000E+00,8.354538E+02,0.000000E+00,5.889367E-02,0.000000E+00,2.022370E+03,0.000000E+00,1.425671E-01,0.000000E+00,1.341749E+03,0.000000E+00,9.458699E-02,0.000000E+00,2.032866E+03,0.000000E+00,1.433071E-01,0.000000E+00,1.438683E+03,0.000000E+00,1.014203E-01
02:30:00,0.000000E+00,2.004026E+04,0.000000E+00,1.412596E+00,0.000000E+00,8.879408E+03,0.000000E+00,6.258977E-01,0.000000E+00,9.283955E+03,0.000000E+00,6.544131E-01,0.000000E+00,2.123483E+03,0.000000E+00,1.496977E-01,0.000000E+00,1.404978E+03,0.000000E+00,9.904613E-02,0.000000E+00,2.136159E+03,0.000000E+00,1.505914E-01,0.000000E+00,1.495942E+03,0.000000E+00,1.054586E-01,0.000000E+00,1.159658E+03,0.000000E+00,8.174784E-02,0.000000E+00,7.736088E+02,0.000000E+00,5.453413E-02,0.000000E+00,1.180421E+03,0.000000E+00,8.321147E-02,0.000000E+00,8.412009E+02,0.000000E+00,5.929885E-02,0.000000E+00,2.044364E+03,0.000000E+00,1.441177E-01,0.000000E+00,1.354628E+03,0.000000E+00,9.549498E-02,0.000000E+00,2.055364E+03,0.000000E+00,1.448932E-01,0.000000E+00,1.447595E+03,0.000000E+00,1.020485E-01
